job,years,education,salary,company,scale,job_url
置业顾问,不限,大专,5000,马鞍山伟星房地产开发有限公司,100-499人,http://jobs.zhaopin.com/CZ567599020J00089454807.htm
"新媒体运营,海外网络电子商务网站运营推广",1-3年,大专,4000,安徽哈科数控机床制造有限公司,20-99人,http://jobs.zhaopin.com/CC254221784J00115090703.htm
融资经理/主管,3-5年,本科,0,碧桂园控股,10000人以上,http://jobs.zhaopin.com/305493616276282.htm
企划经理,3-5年,大专,5000,安徽林海园林绿化股份有限公司合肥分公司,100-499人,http://jobs.zhaopin.com/CC467297382J00101809303.htm
待遇优+诚聘外勤会计,1-3年,大专,3000,马鞍山鑫辰财务咨询有限公司,20人以下,http://jobs.zhaopin.com/CZ609786280J00053681605.htm
幼小衔接教师,1-3年,大专,3000,北京清大智汇国际教育科技有限公司,20-99人,http://jobs.zhaopin.com/CC574121885J00039787110.htm
助教,1-3年,大专,3000,北京清大智汇国际教育科技有限公司,20-99人,http://jobs.zhaopin.com/CC574121885J00039788510.htm
华夏银行诚聘信用卡客户经理,不限,大专,16000,华夏银行股份有限公司合肥分行信用卡共建中心,100-499人,http://jobs.zhaopin.com/431527530250153.htm
前端,不限,大专,3000,马鞍山市盛唐华风传媒广告有限公司,20-99人,http://jobs.zhaopin.com/CZ626247630J00056802204.htm
"机械设计,研发RD工程师,自动化电气工程师",1-3年,大专,9000,安徽哈科数控机床制造有限公司,20-99人,http://jobs.zhaopin.com/CC254221784J00113991103.htm
安装工程师,3-5年,本科,12500,马鞍山筑城房地产开发有限公司,20-99人,http://jobs.zhaopin.com/CZ607741120J00015269917.htm
办公室主任,不限,不限,3000,马鞍山市太白酒厂,100-499人,http://jobs.zhaopin.com/378204118251258.htm
商务标（和县）,3-5年,大专,5000,安徽林海园林绿化股份有限公司合肥分公司,100-499人,http://jobs.zhaopin.com/467297382250016.htm
土建工程师,不限,大专,7000,马鞍山伟星房地产开发有限公司,100-499人,http://jobs.zhaopin.com/CZ567599020J00111531907.htm
法务部长,1-3年,本科,11000,现代牧业(集团)有限公司,1000-9999人,http://jobs.zhaopin.com/262335012251056.htm
拆迁主管（和县）,不限,大专,0,华夏幸福基业股份有限公司,1000-9999人,http://jobs.zhaopin.com/120177629268251.htm
投资主管/专员—马鞍山城市公司J24792,不限,本科,0,碧桂园控股,10000人以上,http://jobs.zhaopin.com/305493616278747.htm
英语教师+包住+饭补+五险（工作地：江苏东台）,不限,大专,3750,东台市昂立外语培训中心,20-99人,http://jobs.zhaopin.com/593986024250770.htm
数学老师+高薪包住饭各种福利（江苏东台）,不限,本科,6000,东台市昂立外语培训中心,20-99人,http://jobs.zhaopin.com/593986024250795.htm
少儿英语老师,1-3年,本科,6000,马鞍山希望树教育咨询有限公司,20-99人,http://jobs.zhaopin.com/CZ700427180J00105262407.htm
销售主管-马鞍山中心,1-3年,不限,9000,爱贝企业发展(上海)有限公司,500-999人,http://jobs.zhaopin.com/CC348677534J00069775702.htm
招标采购人员,不限,本科,5000,马鞍山筑城房地产开发有限公司,20-99人,http://jobs.zhaopin.com/CZ607741120J00015214017.htm
项目经理,不限,不限,17500,荣盛兴城投资有限责任公司,100-499人,http://jobs.zhaopin.com/397205286251140.htm
慧云工程师,3-5年,本科,7000,万达商业管理集团有限公司合肥分公司,1000-9999人,http://jobs.zhaopin.com/398005224250167.htm
工程部部长,3-5年,大专,6000,芜湖翔昀建设有限公司,20-99人,http://jobs.zhaopin.com/522070722250064.htm
总裁助理,3-5年,本科,8000,安徽佳达房地产开发（集团）有限公司,1000-9999人,http://jobs.zhaopin.com/CC226377314J00061452304.htm
城市销售经理,3-5年,本科,7000,上汽通用汽车金融有限责任公司,500-999人,http://jobs.zhaopin.com/120379426252073.htm
技术员,3-5年,大专,7000,北京市政建设集团有限责任公司,1000-9999人,http://jobs.zhaopin.com/211031314252472.htm
雀巢干货销售代表（五险一金）,不限,不限,4500,广州市达生市场推广有限公司,1000-9999人,http://jobs.zhaopin.com/CC281779515J00085547708.htm
综合金融客户经理,不限,不限,5000,中国平安财产保险股份有限公司安徽分公司,1000-9999人,http://jobs.zhaopin.com/135331289250209.htm
材料员,3-5年,本科,7000,北京市政建设集团有限责任公司,1000-9999人,http://jobs.zhaopin.com/211031314252466.htm
采购工程师（工作地点：安徽池州）,5-10年,本科,7500,奥镁（大连）有限公司,500-999人,http://jobs.zhaopin.com/CC120204804J00164175901.htm
内控审计经理/主管，J11471,5-10年,本科,22500,新力地产,100-499人,http://jobs.zhaopin.com/502612728251310.htm
高端产品销售/渠道/经理/主管/店长,1-3年,中专,10000,康姿百德集团有限公司,1000-9999人,http://jobs.zhaopin.com/154082418261582.htm
生鲜肉食品销售经理,不限,不限,5000,正大集团,10000人以上,http://jobs.zhaopin.com/000325805278040.htm
中国光大银行信用卡客户经理（马鞍山）,不限,大专,11500,中国光大银行股份有限公司合肥分行,10000人以上,http://jobs.zhaopin.com/311721929250401.htm
电气产品销售经理/客户经理/销售工程师,1-3年,大专,8000,厦门兴厦控电气有限公司,100-499人,http://jobs.zhaopin.com/205273917250564.htm
预算员,3-5年,大专,7000,北京市政建设集团有限责任公司,1000-9999人,http://jobs.zhaopin.com/211031314252491.htm
计划物控经理（滁州/滁州乐叶）,5-10年,本科,17500,隆基绿能科技股份有限公司,10000人以上,http://jobs.zhaopin.com/193461728252412.htm
设备经理（滁州/滁州乐叶）,5-10年,本科,17500,隆基绿能科技股份有限公司,10000人以上,http://jobs.zhaopin.com/193461728252307.htm
生产经理（滁州/滁州乐叶）,5-10年,本科,17500,隆基绿能科技股份有限公司,10000人以上,http://jobs.zhaopin.com/193461728252342.htm
采购员,不限,本科,5000,宁波奥克斯空调有限公司,保密,http://jobs.zhaopin.com/120230024254212.htm
底薪5000聘雨山区店长（驻店销售管理）,不限,不限,10000,康姿百德集团有限公司,1000-9999人,http://jobs.zhaopin.com/154082418261887.htm
测试（质量）工程师,不限,不限,5000,安徽学府信息科技股份有限公司,20-99人,http://jobs.zhaopin.com/705313124250028.htm
质量经理（滁州/滁州乐叶）,5-10年,本科,17500,隆基绿能科技股份有限公司,10000人以上,http://jobs.zhaopin.com/193461728252360.htm
销售管培生,不限,本科,7000,德佑房地产经纪有限公司第五分公司,10000人以上,http://jobs.zhaopin.com/393536626291982.htm
置业顾问,不限,大专,9000,德佑房地产经纪有限公司第五分公司,10000人以上,http://jobs.zhaopin.com/393536626292812.htm
底薪5000聘马鞍山店面经理（驻店销售管理）,不限,不限,10000,康姿百德集团有限公司,1000-9999人,http://jobs.zhaopin.com/154082418261594.htm
慧云助理工程师-管培生,不限,本科,5000,万达商业管理集团有限公司合肥分公司,1000-9999人,http://jobs.zhaopin.com/CC398005224J00115845503.htm
年薪10万聘马鞍山销售经理,不限,不限,10000,康姿百德集团有限公司,1000-9999人,http://jobs.zhaopin.com/154082418261995.htm
技术经理(滁州/乐叶),5-10年,本科,17500,隆基绿能科技股份有限公司,10000人以上,http://jobs.zhaopin.com/193461728252272.htm
实习生(在校生),不限,大专,2250,百助网络,20-99人,http://jobs.zhaopin.com/420524127250027.htm
小学数学老师,不限,不限,5000,马鞍山市必有师文化培训学校,20-99人,http://jobs.zhaopin.com/480791836250004.htm
会计,1-3年,本科,5000,宁波奥克斯空调有限公司,保密,http://jobs.zhaopin.com/120230024254210.htm
